站名,站点号,年,月,日,时,气温(℃),最高气温(℃),最低气温(℃),相对湿度(%),气压(hPa),3小时降水(mm),平均风速(m/s),平均风向(°),能见度(km)
武威,52515,2025,11,27,18,2.6000,3.3000,2.4000,12,789.4000,0.0000,6.5000,163,30.0
武威,52515,2025,11,27,21,1.8000,2.3000,1.7000,12,788.7000,0.0000,9.0000,160,30.0
武威,52515,2025,11,28,0,1.0000,2.2000,0.9000,12,788.3000,0.0000,7.3000,158,30.0
武威,52515,2025,11,28,3,3.9000,3.9000,2.0000,11,789.6000,0.0000,5.1000,178,30.0
武威,52515,2025,11,28,6,7.9000,7.9000,5.7000,8,788.9000,0.0000,0.9000,200,30.0
武威,52515,2025,11,28,9,7.5000,8.1000,7.5000,10,788.1000,0.0000,2.1000,319,30.0
武威,52515,2025,11,28,12,-3.7000,0.6000,-3.7000,40,789.1000,0.0000,1.5000,184,30.0
武威,52515,2025,11,28,15,-6.3000,-4.3000,-7.3000,53,788.7000,0.0000,3.7000,161,30.0
武威,52515,2025,11,28,18,-5.6000,-5.6000,-7.5000,42,787.6000,0.0000,0.7000,308,30.0
武威,52515,2025,11,28,21,1.5000,1.5000,-4.0000,15,786.3000,0.0000,7.5000,164,30.0
武威,52515,2025,11,29,0,-1.2000,0.9000,-1.3000,16,786.5000,0.0000,5.6000,207,30.0
武威,52515,2025,11,29,3,2.3000,2.8000,1.3000,13,788.0000,0.0000,4.4000,207,30.0
武威,52515,2025,11,29,6,4.7000,4.9000,4.0000,11,788.5000,0.0000,3.1000,358,30.0
武威,52515,2025,11,29,9,4.2000,4.7000,4.1000,12,789.9000,0.0000,3.0000,2,30.0
武威,52515,2025,11,29,12,0.6000,0.9000,-2.4000,20,791.1000,0.0000,3.6000,166,30.0
武威,52515,2025,11,29,15,-1.0000,-0.9000,-2.4000,23,791.4000,0.0000,3.5000,210,30.0
武威,52515,2025,11,29,18,-2.3000,-2.0000,-4.9000,25,790.2000,0.0000,3.3000,192,30.0
武威,52515,2025,11,29,21,-3.0000,-2.4000,-3.0000,23,788.9000,0.0000,3.0000,168,30.0
武威,52515,2025,11,30,0,-3.5000,-3.1000,-3.6000,22,789.0000,0.0000,5.5000,188,30.0
武威,52515,2025,11,30,3,0.0000,0.0000,-2.6000,18,789.3000,0.0000,6.1000,187,30.0
武威,52515,2025,11,30,6,6.5000,6.9000,4.9000,10,787.2000,0.0000,1.4000,156,30.0
武威,52515,2025,11,30,9,6.6000,6.9000,6.4000,9,787.0000,0.0000,1.9000,15,30.0
武威,52515,2025,11,30,12,-4.0000,-2.9000,-4.7000,43,787.2000,0.0000,0.9000,212,30.0
武威,52515,2025,11,30,15,-6.2000,-4.7000,-6.4000,50,787.8000,0.0000,3.4000,161,30.0
武威,52515,2025,11,30,18,-2.0000,-1.7000,-2.0000,23,787.6000,0.0000,3.8000,185,30.0
武威,52515,2025,11,30,21,-3.7000,-3.5000,-7.1000,24,787.5000,0.0000,3.7000,195,30.0
武威,52515,2025,12,1,0,-6.2000,-6.2000,-9.8000,32,788.9000,0.0000,3.5000,197,30.0
兰州,52533,2025,11,26,0,3.0000,3.1000,-1.5000,35,866.4000,0.0000,14.1000,299,24.8
兰州,52533,2025,11,26,3,3.6000,3.6000,2.9000,36,868.4000,0.0000,7.4000,328,24.3
兰州,52533,2025,11,26,6,3.6000,4.3000,3.3000,39,866.9000,0.0000,3.1000,99,27.9
兰州,52533,2025,11,26,9,5.3000,5.3000,5.0000,30,865.0000,0.0000,4.1000,143,22.7
兰州,52533,2025,11,26,12,3.0000,3.0000,2.2000,36,863.3000,0.0000,3.5000,160,15.6
兰州,52533,2025,11,26,15,-3.1000,-1.8000,-3.1000,54,861.1000,0.0000,1.4000,126,11.9
兰州,52533,2025,11,26,18,-3.9000,-3.1000,-3.9000,55,859.7000,0.0000,1.0000,148,14.6
兰州,52533,2025,11,26,21,-3.5000,-2.3000,-4.9000,41,857.8000,0.0000,1.3000,154,25.5
兰州,52533,2025,11,27,0,-6.0000,-4.5000,-6.0000,44,856.3000,0.0000,2.7000,264,28.3
兰州,52533,2025,11,27,3,4.7000,4.7000,0.7000,23,855.6000,0.0000,1.8000,277,18.1
兰州,52533,2025,11,27,6,11.6000,11.6000,9.9000,9,853.4000,0.0000,0.6000,316,30.0
兰州,52533,2025,11,27,9,10.8000,12.6000,10.8000,12,852.7000,0.0000,3.4000,140,30.0
兰州,52533,2025,11,27,12,5.2000,6.7000,4.2000,17,853.9000,0.0000,1.8000,316,24.8
兰州,52533,2025,11,27,15,3.7000,3.7000,1.3000,15,852.6000,0.0000,3.4000,246,20.7
兰州,52533,2025,11,27,18,3.5000,3.8000,2.7000,17,853.2000,0.0000,5.3000,246,30.0
兰州,52533,2025,11,27,21,3.4000,3.4000,2.6000,16,852.1000,0.0000,2.3000,211,30.0
兰州,52533,2025,11,28,0,2.8000,3.3000,2.6000,15,852.0000,0.0000,5.3000,235,30.0
兰州,52533,2025,11,28,3,7.8000,8.3000,5.3000,14,853.0000,0.0000,3.3000,33,30.0
兰州,52533,2025,11,28,6,11.0000,11.0000,9.2000,9,852.1000,0.0000,1.0000,223,30.0
兰州,52533,2025,11,28,9,9.2000,10.2000,9.1000,11,852.7000,0.0000,3.4000,312,27.0
兰州,52533,2025,11,28,12,3.6000,5.3000,3.6000,16,854.0000,0.0000,2.9000,269,30.0
兰州,52533,2025,11,28,15,0.7000,2.2000,0.5000,21,854.5000,0.0000,2.9000,34,23.0
兰州,52533,2025,11,28,18,-2.5000,-2.5000,-3.5000,27,853.4000,0.0000,3.3000,201,27.8
兰州,52533,2025,11,28,21,-2.3000,-2.3000,-3.5000,22,852.5000,0.0000,3.3000,221,30.0
兰州,52533,2025,11,29,0,-5.4000,-3.6000,-6.0000,31,852.3000,0.0000,2.0000,239,30.0
兰州,52533,2025,11,29,3,3.5000,3.5000,-1.2000,19,852.5000,0.0000,1.0000,288,30.0
兰州,52533,2025,11,29,6,8.8000,9.7000,8.5000,10,851.9000,0.0000,6.3000,317,30.0
兰州,52533,2025,11,29,9,6.6000,8.3000,6.6000,15,853.8000,0.0000,6.6000,315,30.0
兰州,52533,2025,11,29,12,2.7000,4.6000,2.7000,24,856.5000,0.0000,3.4000,283,30.0
兰州,52533,2025,11,29,15,0.6000,1.7000,0.5000,26,858.2000,0.0000,2.6000,31,30.0
兰州,52533,2025,11,29,18,-5.7000,-3.7000,-5.7000,57,859.7000,0.0000,2.0000,58,30.0
兰州,52533,2025,11,29,21,-7.9000,-7.4000,-8.0000,53,859.3000,0.0000,3.5000,109,30.0
兰州,52533,2025,11,30,0,-9.4000,-8.6000,-9.4000,46,858.6000,0.0000,0.7000,123,30.0
兰州,52533,2025,11,30,3,-4.2000,-4.1000,-6.3000,36,858.1000,0.0000,3.8000,131,29.9
兰州,52533,2025,11,30,6,0.3000,0.4000,-1.4000,23,854.9000,0.0000,3.2000,111,30.0
兰州,52533,2025,11,30,9,2.2000,2.4000,2.1000,27,853.8000,0.0000,2.2000,106,30.0
兰州,52533,2025,11,30,12,-2.1000,-0.8000,-2.6000,35,853.2000,0.0000,2.4000,174,16.7
兰州,52533,2025,11,30,15,-4.1000,-3.1000,-4.8000,42,853.1000,0.0000,1.8000,225,16.4
兰州,52533,2025,11,30,18,-5.1000,-2.9000,-5.4000,41,852.7000,0.0000,1.1000,227,26.1
兰州,52533,2025,11,30,21,-5.7000,-4.5000,-5.9000,46,853.6000,0.0000,1.8000,119,30.0
兰州,52533,2025,12,1,0,-5.5000,-3.9000,-5.5000,47,855.6000,0.0000,1.1000,281,30.0
定西,52546,2025,11,26,0,-0.3000,-0.1000,-0.3000,48,882.3000,0.0000,4.1000,281,16.5
